network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UMDS_0,UMDS_1,UMDS_2,average_depth,time_1,time_2
ER+ER,1000,2.6,0,374,364,219,209,583,576,529,1.1481481481481481,0.4634881019592285,0.03372478485107422
ER+ER,1000,2.6,1,374,364,229,219,593,576,529,1.171875,0.4455099105834961,0.03515267372131348
ER+ER,1000,2.6,2,374,364,225,215,589,572,529,1.0833333333333333,0.4547579288482666,0.03395533561706543
ER+ER,1000,2.6,3,374,364,224,214,588,577,529,1.0677966101694916,0.4614427089691162,0.03326678276062012
ER+ER,1000,2.6,4,374,364,232,222,596,579,529,1.1940298507462686,0.45201778411865234,0.0363469123840332
ER+ER,1000,2.6,5,374,364,218,208,582,573,529,1.150943396226415,0.4449925422668457,0.03273653984069824
ER+ER,1000,2.6,6,374,364,228,218,592,580,529,1.1746031746031746,0.4444241523742676,0.03534364700317383
ER+ER,1000,2.6,7,374,364,228,218,592,575,529,1.1428571428571428,0.45813870429992676,0.03481912612915039
ER+ER,1000,2.6,8,374,364,222,212,586,576,529,1.1578947368421053,0.45676755905151367,0.03364706039428711
ER+ER,1000,2.6,9,374,364,225,215,589,574,529,1.1833333333333333,0.4516911506652832,0.034451961517333984
ER+ER,1000,2.7,0,346,358,203,215,561,555,514,1.0638297872340425,0.45847582817077637,0.028766632080078125
ER+ER,1000,2.7,1,346,358,211,223,569,558,514,1.1272727272727272,0.4684896469116211,0.030300378799438477
ER+ER,1000,2.7,2,346,358,208,220,566,559,514,1.0384615384615385,0.4670121669769287,0.02874445915222168
ER+ER,1000,2.7,3,346,358,216,228,574,548,514,1.05,0.4754350185394287,0.030077695846557617
ER+ER,1000,2.7,4,346,358,212,224,570,558,514,1.0535714285714286,0.464993953704834,0.029651641845703125
ER+ER,1000,2.7,5,346,358,220,232,578,552,514,1.03125,0.47097063064575195,0.03011155128479004
ER+ER,1000,2.7,6,346,358,203,215,561,557,514,1.0851063829787233,0.4699287414550781,0.02796649932861328
ER+ER,1000,2.7,7,346,358,210,222,568,556,514,1.0185185185185186,0.45351076126098633,0.028795480728149414
ER+ER,1000,2.7,8,346,358,205,217,563,553,514,1.1428571428571428,0.45850086212158203,0.02911663055419922
ER+ER,1000,2.7,9,346,358,207,219,565,558,514,1.1176470588235294,0.471466064453125,0.029577255249023438
ER+ER,1000,2.8,0,333,332,224,223,556,542,492,1.375,0.4732234477996826,0.05751752853393555
ER+ER,1000,2.8,1,333,332,225,224,557,542,492,1.2307692307692308,0.47304320335388184,0.04374384880065918
ER+ER,1000,2.8,2,333,332,237,236,569,545,492,1.3246753246753247,0.47470593452453613,0.047682762145996094
ER+ER,1000,2.8,3,333,332,225,224,557,538,492,1.3076923076923077,0.47971200942993164,0.05087590217590332
ER+ER,1000,2.8,4,333,332,225,224,557,542,492,1.2923076923076924,0.472637414932251,0.04821968078613281
ER+ER,1000,2.8,5,333,332,222,221,554,544,492,1.4193548387096775,0.4773674011230469,0.044031381607055664
ER+ER,1000,2.8,6,333,332,221,220,553,545,492,1.3770491803278688,0.47129082679748535,0.0526423454284668
ER+ER,1000,2.8,7,333,332,226,225,558,545,492,1.2727272727272727,0.4692716598510742,0.052736759185791016
ER+ER,1000,2.8,8,333,332,226,225,558,543,492,1.4090909090909092,0.46387314796447754,0.04949784278869629
ER+ER,1000,2.8,9,333,332,230,229,562,543,492,1.2428571428571429,0.4708223342895508,0.04828333854675293
ER+ER,1000,2.9,0,331,339,225,233,564,555,503,1.180327868852459,0.48119091987609863,0.041788578033447266
ER+ER,1000,2.9,1,331,339,227,235,566,555,503,1.3650793650793651,0.46897363662719727,0.0472712516784668
ER+ER,1000,2.9,2,331,339,224,232,563,559,503,1.2333333333333334,0.4772491455078125,0.040160179138183594
ER+ER,1000,2.9,3,331,339,230,238,569,558,503,1.2878787878787878,0.4816281795501709,0.042405128479003906
ER+ER,1000,2.9,4,331,339,226,234,565,556,503,1.4193548387096775,0.48367738723754883,0.042810678482055664
ER+ER,1000,2.9,5,331,339,238,246,577,559,503,1.2972972972972974,0.4866912364959717,0.044477224349975586
ER+ER,1000,2.9,6,331,339,237,245,576,558,503,1.2328767123287672,0.47588038444519043,0.0438694953918457
ER+ER,1000,2.9,7,331,339,231,239,570,559,503,1.2985074626865671,0.48413634300231934,0.0439603328704834
