network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_1,UDS_2,average_depth,time_1,time_2
ER+ER,1000,2.9,0,343,307,233,197,540,526,477,1.1111111111111112,0.48163795471191406,0.039354562759399414
ER+ER,1000,2.9,1,343,307,233,197,540,526,477,1.2698412698412698,0.4758436679840088,0.041455984115600586
ER+ER,1000,2.9,2,343,307,228,192,535,528,477,1.1379310344827587,0.48446154594421387,0.03815603256225586
ER+ER,1000,2.9,3,343,307,237,201,544,526,477,1.2238805970149254,0.4901297092437744,0.03996419906616211
ER+ER,1000,2.9,4,343,307,236,200,543,525,477,1.1363636363636365,0.4849526882171631,0.03882098197937012
ER+ER,1000,2.9,5,343,307,234,198,541,525,477,1.15625,0.49141931533813477,0.03930330276489258
ER+ER,1000,2.9,6,343,307,226,190,533,523,477,1.1428571428571428,0.47607946395874023,0.03978371620178223
ER+ER,1000,2.9,7,343,307,236,200,543,525,477,1.2727272727272727,0.48569655418395996,0.0427398681640625
ER+ER,1000,2.9,8,343,307,230,194,537,525,477,1.1666666666666667,0.4819011688232422,0.040224552154541016
ER+ER,1000,2.9,9,343,307,223,187,530,524,477,1.150943396226415,0.4841618537902832,0.03847241401672363
ER+ER,1000,3.0,0,336,325,221,210,546,524,471,1.2133333333333334,0.4802980422973633,0.03516197204589844
ER+ER,1000,3.0,1,336,325,215,204,540,527,471,1.173913043478261,0.4810171127319336,0.033297061920166016
ER+ER,1000,3.0,2,336,325,220,209,545,528,471,1.1891891891891893,0.4853479862213135,0.034940242767333984
ER+ER,1000,3.0,3,336,325,212,201,537,527,471,1.1818181818181819,0.48900771141052246,0.03366851806640625
ER+ER,1000,3.0,4,336,325,218,207,543,530,471,1.25,0.48622846603393555,0.03533029556274414
ER+ER,1000,3.0,5,336,325,215,204,540,525,471,1.1159420289855073,0.4878990650177002,0.03251004219055176
ER+ER,1000,3.0,6,336,325,215,204,540,529,471,1.173913043478261,0.47807979583740234,0.03367781639099121
ER+ER,1000,3.0,7,336,325,213,202,538,528,471,1.1791044776119404,0.48364949226379395,0.03281283378601074
ER+ER,1000,3.0,8,336,325,217,206,542,528,471,1.1408450704225352,0.48053526878356934,0.033638715744018555
